"Supplementary Dataset S1. Proteins that were identified in total cell extract and included in further differential expression analysis. For each protein the fold change and p-values (unadjusted-adjusted for FDR) are provided, along with the expression trend at the mRNA level. Differentially expressed proteins (as defined by fold change >1.5, p<0.05)  are marked in blue.",,,,,,,,,,,,,,,,,,,,,,
Accession,UniprotID,Protein Name,Prediction of signal peptide (SignalIP),Transcriptomics: Ratio (T24M vs T24),Proteomics:,Avg. T24,SD. T24,Avg. T24M,SD. T24M,Fold Change        (Avg. T24M/ Avg. T24),p-value (unadjusted),p-value                    (FDR- BH adjusted),Area T24_T1 normalized,Area T24_T2 normalized,Area T24_T3 normalized,Area T24_T4 normalized,Area T24_T5 normalized,Area T24M_T6 normalized,Area T24M_T7 normalized,Area T24M_T8 normalized,Area T24M_T9 normalized,Area T24M_T10 normalized
P20020,AT2B1_HUMAN,Plasma membrane calcium-transporting ATPase 1 ,Not predicted,2.18,,0.00,0.00,83.26,61.98,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,116.19,106.91,39.87,153.31,0.00
O76003,GLRX3_HUMAN,Glutaredoxin-3 ,Not predicted,1.31,,0.00,0.00,77.74,14.13,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,75.25,67.36,98.83,83.79,63.47
O95571,ETHE1_HUMAN,"Persulfide dioxygenase ETHE1, mitochondrial ",Not predicted,0.63,,0.00,0.00,193.24,27.16,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,236.67,196.20,166.25,175.16,191.94
P08670,VIME_HUMAN,Vimentin ,Not predicted,1.04,,0.00,0.00,"4,447.07",351.52,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,"4,365.62","4,589.31","4,583.94","4,811.44","3,885.03"
P53985,MOT1_HUMAN,Monocarboxylate transporter 1 ,Not predicted,0.91,,0.00,0.00,134.04,21.64,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,122.62,165.62,109.96,144.91,127.08
Q12769,NU160_HUMAN,Nuclear pore complex protein Nup160 ,Not predicted,0.82,,0.00,0.00,26.12,4.19,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,22.72,23.77,25.40,25.37,33.33
Q6WCQ1,MPRIP_HUMAN,Myosin phosphatase Rho-interacting protein ,Not predicted,0.72,,0.00,0.00,49.76,9.79,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,33.07,50.07,55.11,52.53,58.03
Q8IZL8,PELP1_HUMAN,"Proline-, glutamic acid- and leucine-rich protein 1 ",Not predicted,1.12,,0.00,0.00,55.27,20.72,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,73.38,73.93,46.40,24.39,58.27
Q92621,NU205_HUMAN,Nuclear pore complex protein Nup205 ,Not predicted,0.55,,0.00,0.00,94.18,75.65,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,37.63,152.44,40.97,42.01,197.85
Q96B97,SH3K1_HUMAN,SH3 domain-containing kinase-binding protein 1 ,Not predicted,1.14,,0.00,0.00,143.95,23.09,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,131.95,184.57,131.05,131.15,141.06
Q9HB90,RRAGC_HUMAN,Ras-related GTP-binding protein C ,Not predicted,1.14,,0.00,0.00,88.96,13.86,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,69.49,80.69,101.75,101.22,91.66
Q9NS25,SPNXB_HUMAN,Sperm protein associated with the nucleus on the X chromosome B/F ,Not predicted,1.07,,0.00,0.00,165.49,26.34,Only T24M,0.005,0.039,0.00,0.00,0.00,0.00,0.00,186.34,136.30,193.68,139.80,171.32
P29317,EPHA2_HUMAN,Ephrin type-A receptor 2 ,Predicted,0.95,,0.00,0.00,32.12,19.28,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,36.11,32.51,51.19,0.00,40.79
P56545,CTBP2_HUMAN,C-terminal-binding protein 2 ,Not predicted,1.35,,0.00,0.00,67.21,38.14,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,94.02,82.10,84.09,0.00,75.86
P98179,RBM3_HUMAN,Putative RNA-binding protein 3 ,Not predicted,0.89,,0.00,0.00,353.19,239.03,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,635.58,310.02,498.76,0.00,321.60
Q05048,CSTF1_HUMAN,Cleavage stimulation factor subunit 1 ,Not predicted,0.83,,0.00,0.00,85.40,60.19,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,168.94,74.28,94.29,0.00,89.49
Q8IVF2,AHNK2_HUMAN,Protein AHNAK2 ,Not predicted,0.59,,0.00,0.00,125.75,84.70,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,96.38,226.51,0.00,138.98,166.91
Q9Y314,NOSIP_HUMAN,Nitric oxide synthase-interacting protein ,Not predicted,1.22,,0.00,0.00,62.22,39.17,Only T24M,0.019,0.064,0.00,0.00,0.00,0.00,0.00,94.29,96.76,55.82,0.00,64.23
Q7L576,CYFP1_HUMAN,Cytoplasmic FMR1-interacting protein 1 ,Not predicted,0.41,,90.12,16.76,0.00,0.00,Only T24,0.005,0.039,79.91,100.57,87.58,70.06,112.49,0.00,0.00,0.00,0.00,0.00
P15090,FABP4_HUMAN,"Fatty acid-binding protein, adipocyte ",Not predicted,0.12,,769.62,76.19,0.00,0.00,Only T24,0.005,0.039,886.17,762.53,794.02,706.91,698.47,0.00,0.00,0.00,0.00,0.00
Q93052,LPP_HUMAN,Lipoma-preferred partner ,Not predicted,0.44,,121.84,28.79,0.00,0.00,Only T24,0.005,0.039,129.53,115.18,160.81,80.72,122.97,0.00,0.00,0.00,0.00,0.00
P32322,P5CR1_HUMAN,"Pyrroline-5-carboxylate reductase 1, mitochondrial ",Not predicted,0.61,,96.70,18.12,0.00,0.00,Only T24,0.005,0.039,80.18,97.14,76.84,115.21,114.13,0.00,0.00,0.00,0.00,0.00
P35270,SPRE_HUMAN,Sepiapterin reductase ,Not predicted,0.52,,134.19,26.76,0.00,0.00,Only T24,0.005,0.039,134.63,112.04,135.92,111.24,177.13,0.00,0.00,0.00,0.00,0.00
P55011,S12A2_HUMAN,Solute carrier family 12 member 2 ,Not predicted,0.31,,446.45,13.08,0.00,0.00,Only T24,0.005,0.039,464.43,439.99,443.06,454.10,430.65,0.00,0.00,0.00,0.00,0.00
Q709C8,VP13C_HUMAN,Vacuolar protein sorting-associated protein 13C ,Not predicted,0.53,,99.36,11.53,0.00,0.00,Only T24,0.005,0.039,112.00,93.49,111.34,86.96,92.99,0.00,0.00,0.00,0.00,0.00
Q15404,RSU1_HUMAN,Ras suppressor protein 1 ,Not predicted,0.61,,86.04,53.19,0.00,0.00,Only T24,0.019,0.064,0.00,73.11,128.79,127.13,101.17,0.00,0.00,0.00,0.00,0.00
Q9UNF0,PACN2_HUMAN,Protein kinase C and casein kinase substrate in neurons protein 2 ,Not predicted,0.47,,91.01,52.63,0.00,0.00,Only T24,0.019,0.064,92.72,130.16,0.00,114.27,117.89,0.00,0.00,0.00,0.00,0.00
Q8NBS3,S4A11_HUMAN,Sodium bicarbonate transporter-like protein 11 ,Not predicted,0.49,,101.65,80.50,0.00,0.00,Only T24,0.019,0.064,36.98,194.72,132.54,0.00,144.00,0.00,0.00,0.00,0.00,0.00
P15289,ARSA_HUMAN,Arylsulfatase A ,Predicted,0.69,,102.92,31.60,0.00,0.00,Only T24,0.005,0.039,107.75,89.40,155.88,82.17,79.42,0.00,0.00,0.00,0.00,0.00
Q92820,GGH_HUMAN,Gamma-glutamyl hydrolase ,Predicted,0.83,,131.11,80.70,0.00,0.00,Only T24,0.019,0.064,217.35,0.00,127.37,144.85,165.99,0.00,0.00,0.00,0.00,0.00
Q7L9L4,MOB1B_HUMAN,MOB kinase activator 1B ,Not predicted,0.66,,190.60,110.03,0.00,0.00,Only T24,0.019,0.064,206.82,247.68,278.41,220.08,0.00,0.00,0.00,0.00,0.00,0.00
O43747,AP1G1_HUMAN,AP-1 complex subunit gamma-1 ,Not predicted,0.71,,97.91,56.85,0.00,0.00,Only T24,0.019,0.064,0.00,110.65,138.79,136.27,103.83,0.00,0.00,0.00,0.00,0.00
P53634,CATC_HUMAN,Dipeptidyl peptidase 1 ,Predicted,1.87,,118.57,87.44,0.00,0.00,Only T24,0.019,0.064,0.00,70.23,225.69,169.95,126.97,0.00,0.00,0.00,0.00,0.00
P22570,ADRO_HUMAN,"NADPH:adrenodoxin oxidoreductase, mitochondrial ",Not predicted,0.70,,102.39,66.97,0.00,0.00,Only T24,0.019,0.064,101.16,0.00,155.42,168.69,86.69,0.00,0.00,0.00,0.00,0.00
P05166,PCCB_HUMAN,"Propionyl-CoA carboxylase beta chain, mitochondrial ",Predicted,0.70,,56.92,36.15,0.00,0.00,Only T24,0.019,0.064,44.49,68.23,82.69,0.00,89.17,0.00,0.00,0.00,0.00,0.00
P20591,MX1_HUMAN,Interferon-induced GTP-binding protein Mx1 ,Not predicted,2.06,,6.43,14.38,"1,100.07",143.39,171.02,0.007,0.039,0.00,0.00,0.00,32.16,0.00,"1,094.97","1,043.73","1,327.29",934.51,"1,099.83"
P23497,SP100_HUMAN,Nuclear autoantigen Sp-100 ,Not predicted,1.99,,12.55,28.06,259.20,26.46,20.66,0.007,0.039,62.74,0.00,0.00,0.00,0.00,250.39,276.97,293.63,249.35,225.67
O43396,TXNL1_HUMAN,Thioredoxin-like protein 1 ,Not predicted,1.46,,13.17,29.45,152.28,23.48,11.56,0.007,0.039,0.00,0.00,0.00,0.00,65.85,168.12,148.07,115.31,176.10,153.81
O15533,TPSN_HUMAN,Tapasin ,Predicted,1.11,,20.20,45.17,214.24,92.42,10.60,0.007,0.039,0.00,101.01,0.00,0.00,0.00,323.33,121.15,208.42,291.34,126.95
Q07812,BAX_HUMAN,Apoptosis regulator BAX ,Not predicted,1.10,,18.74,41.91,193.26,37.36,10.31,0.007,0.039,0.00,0.00,0.00,0.00,93.72,211.20,158.99,218.13,230.41,147.57
O00629,IMA3_HUMAN,Importin subunit alpha-3 ,Not predicted,1.54,,14.20,31.75,140.27,78.86,9.88,0.034,0.097,0.00,0.00,0.00,0.00,71.00,162.30,179.36,174.53,0.00,185.16
P42224,STAT1_HUMAN,Signal transducer and activator of transcription 1-alpha/beta ,Not predicted,1.62,,72.44,47.28,606.38,71.87,8.37,0.009,0.039,130.30,63.76,83.38,84.75,0.00,597.16,589.52,726.46,532.42,586.35
P21281,VATB2_HUMAN,"V-type proton ATPase subunit B, brain isoform ",Not predicted,1.02,,20.23,45.24,158.23,15.57,7.82,0.007,0.039,0.00,0.00,0.00,0.00,101.17,142.98,172.66,157.92,175.03,142.55
Q9NX24,NHP2_HUMAN,H/ACA ribonucleoprotein complex subunit 2 ,Not predicted,0.57,,35.71,79.85,274.62,35.06,7.69,0.007,0.039,178.54,0.00,0.00,0.00,0.00,301.76,277.46,250.53,313.94,229.40
Q8NFW8,NEUA_HUMAN,N-acylneuraminate cytidylyltransferase ,Not predicted,1.12,,24.01,53.69,156.80,12.77,6.53,0.007,0.039,0.00,0.00,120.06,0.00,0.00,177.83,148.91,153.81,145.10,158.36
P63165,SUMO1_HUMAN,Small ubiquitin-related modifier 1 ,Not predicted,1.07,,31.56,70.57,199.09,113.37,6.31,0.034,0.097,0.00,0.00,0.00,0.00,157.81,240.95,237.22,0.00,285.84,231.43
P20339,RAB5A_HUMAN,Ras-related protein Rab-5A ,Not predicted,1.40,,33.19,74.20,206.92,131.34,6.24,0.034,0.097,0.00,0.00,0.00,0.00,165.93,200.88,343.00,196.98,0.00,293.72
Q9Y6K5,OAS3_HUMAN,2'-5'-oligoadenylate synthase 3 ,Not predicted,1.44,,64.66,41.84,402.85,60.22,6.23,0.009,0.039,57.53,62.24,104.16,0.00,99.35,391.83,454.00,452.24,306.49,409.67
Q8WVM8,SCFD1_HUMAN,Sec1 family domain-containing protein 1 ,Not predicted,1.60,,14.67,32.79,90.54,16.78,6.17,0.013,0.055,0.00,73.33,0.00,0.00,0.00,107.52,74.84,93.17,71.60,105.57
Q14157,UBP2L_HUMAN,Ubiquitin-associated protein 2-like ,Not predicted,0.82,,11.18,25.01,65.64,37.47,5.87,0.034,0.097,0.00,0.00,55.92,0.00,0.00,0.00,87.25,77.87,71.98,91.12
Q9UKV3,ACINU_HUMAN,Apoptotic chromatin condensation inducer in the nucleus ,Not predicted,1.36,,18.08,40.43,103.91,39.97,5.75,0.013,0.055,0.00,0.00,90.41,0.00,0.00,156.92,47.27,101.75,120.03,93.56
Q16777,H2A2C_HUMAN,Histone H2A type 2-C ,Not predicted,1.99,,"2,776.80","6,209.11","15,473.47","8,743.39",5.57,0.034,0.097,0.00,0.00,"13,883.99",0.00,0.00,"17,656.79","20,303.75","18,590.77",0.00,"20,816.05"
Q5VYK3,ECM29_HUMAN,Proteasome-associated protein ECM29 homolog ,Not predicted,0.65,,5.31,11.88,28.70,16.92,5.40,0.034,0.097,0.00,0.00,0.00,0.00,26.56,37.61,0.00,41.28,26.96,37.66
Q5BKZ1,ZN326_HUMAN,DBIRD complex subunit ZNF326 ,Not predicted,1.50,,18.28,40.87,95.04,58.35,5.20,0.034,0.097,91.39,0.00,0.00,0.00,0.00,109.94,159.55,96.47,0.00,109.24
Q969E4,TCAL3_HUMAN,Transcription elongation factor A protein-like 3 ,Not predicted,0.82,,23.68,32.56,121.07,45.87,5.11,0.026,0.082,0.00,55.00,63.41,0.00,0.00,150.99,106.84,167.68,49.89,129.93
Q9Y394,DHRS7_HUMAN,Dehydrogenase/reductase SDR family member 7 ,Not predicted,1.03,,15.05,33.64,75.22,42.17,5.00,0.034,0.097,0.00,0.00,0.00,75.23,0.00,96.98,93.94,88.76,96.42,0.00
P05161,ISG15_HUMAN,Ubiquitin-like protein ISG15 ,Not predicted,3.72,,427.54,96.12,"2,132.92",100.89,4.99,0.009,0.039,570.00,437.80,331.00,346.27,452.64,"2,145.49","2,067.73","2,299.43","2,108.32","2,043.61"
O00487,PSDE_HUMAN,26S proteasome non-ATPase regulatory subunit 14 ,Not predicted,1.19,,23.72,53.05,112.37,64.02,4.74,0.034,0.097,0.00,118.62,0.00,0.00,0.00,141.77,149.41,0.00,150.78,119.89
O00422,SAP18_HUMAN,Histone deacetylase complex subunit SAP18 ,Not predicted,1.20,,26.15,58.47,123.36,70.64,4.72,0.034,0.097,130.75,0.00,0.00,0.00,0.00,173.38,131.01,159.78,152.61,0.00
P67870,CSK2B_HUMAN,Casein kinase II subunit beta ,Not predicted,1.44,,29.76,66.54,137.15,78.82,4.61,0.034,0.097,0.00,148.78,0.00,0.00,0.00,159.88,149.48,179.38,0.00,197.03
O14744,ANM5_HUMAN,Protein arginine N-methyltransferase 5 ,Not predicted,0.72,,24.83,34.00,105.93,7.78,4.27,0.008,0.039,0.00,61.99,0.00,62.18,0.00,100.00,104.16,101.75,104.25,119.48
Q7L1Q6,BZW1_HUMAN,Basic leucine zipper and W2 domain-containing protein 1 ,Not predicted,0.82,,29.20,44.61,122.46,12.65,4.19,0.008,0.039,0.00,0.00,0.00,100.96,45.05,125.30,119.45,118.73,141.75,107.07
P11166,GTR1_HUMAN,"Solute carrier family 2, facilitated glucose transporter member 1 ",Not predicted,0.89,,26.77,38.02,102.89,12.83,3.84,0.008,0.039,0.00,81.22,0.00,0.00,52.62,100.55,96.48,90.12,124.07,103.20
P04181,OAT_HUMAN,"Ornithine aminotransferase, mitochondrial ",Not predicted,1.03,,50.75,48.84,189.55,38.10,3.74,0.009,0.039,0.00,0.00,87.95,61.23,104.56,195.67,207.34,132.17,178.00,234.55
P54920,SNAA_HUMAN,Alpha-soluble NSF attachment protein ,Not predicted,0.85,,61.71,84.71,229.70,9.45,3.72,0.008,0.039,162.57,0.00,0.00,0.00,145.99,236.28,236.65,233.30,213.86,228.38
O43765,SGTA_HUMAN,Small glutamine-rich tetratricopeptide repeat-containing protein alpha ,Not predicted,0.83,,37.03,51.29,135.38,29.95,3.66,0.008,0.039,0.00,81.66,103.48,0.00,0.00,118.55,109.87,184.66,141.94,121.86
Q08380,LG3BP_HUMAN,Galectin-3-binding protein ,Predicted,1.13,,81.34,113.82,286.11,38.26,3.52,0.015,0.057,0.00,0.00,236.52,0.00,170.17,300.12,220.09,319.20,291.78,299.35
P62306,RUXF_HUMAN,Small nuclear ribonucleoprotein F ,Not predicted,1.28,,71.75,99.80,243.74,59.83,3.40,0.015,0.057,0.00,204.22,154.51,0.00,0.00,327.61,240.95,228.08,161.58,260.47
P51114,FXR1_HUMAN,Fragile X mental retardation syndrome-related protein 1 ,Not predicted,1.15,,36.52,50.10,120.65,28.99,3.30,0.026,0.082,95.59,0.00,0.00,87.02,0.00,92.15,157.16,91.43,139.54,122.94
Q9BV38,WDR18_HUMAN,WD repeat-containing protein 18 ,Not predicted,0.85,,47.13,65.02,151.62,19.76,3.22,0.008,0.039,0.00,0.00,0.00,106.76,128.91,155.77,149.62,129.00,182.10,141.60
O95168,NDUB4_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 ,Not predicted,1.26,,46.48,64.83,147.92,10.23,3.18,0.008,0.039,98.73,133.66,0.00,0.00,0.00,164.93,144.97,140.07,140.37,149.27
Q09161,NCBP1_HUMAN,Nuclear cap-binding protein subunit 1 ,Not predicted,0.79,,28.01,39.53,85.66,8.13,3.06,0.015,0.057,0.00,83.56,0.00,56.49,0.00,89.41,86.54,92.98,71.79,87.59
Q92900,RENT1_HUMAN,Regulator of nonsense transcripts 1 ,Not predicted,0.70,,68.33,49.51,204.78,35.61,3.00,0.009,0.039,0.00,128.33,72.46,97.93,42.95,167.46,221.36,231.62,238.24,165.21
Q9UK22,FBX2_HUMAN,F-box only protein 2 ,Not predicted,4.13,,113.16,15.82,324.10,27.49,2.86,0.009,0.039,111.34,105.76,117.14,94.40,137.15,293.69,337.43,320.13,363.64,305.59
P61081,UBC12_HUMAN,NEDD8-conjugating enzyme Ubc12 ,Not predicted,0.87,,60.06,82.47,167.62,22.62,2.79,0.026,0.082,0.00,141.40,0.00,0.00,158.90,174.21,162.80,168.18,197.89,135.02
P20042,IF2B_HUMAN,Eukaryotic translation initiation factor 2 subunit 2 ,Not predicted,1.34,,262.49,24.84,728.60,321.29,2.78,0.009,0.039,285.89,273.53,223.82,252.50,276.72,369.11,961.27,384.57,976.81,951.24
Q13620,CUL4B_HUMAN,Cullin-4B ,Not predicted,0.77,,43.37,42.03,119.58,21.49,2.76,0.016,0.057,0.00,75.60,0.00,50.86,90.38,143.53,131.36,127.69,90.29,105.03
O75844,FACE1_HUMAN,CAAX prenyl protease 1 homolog ,Not predicted,0.87,,69.42,95.20,186.29,18.25,2.68,0.026,0.082,0.00,0.00,166.16,0.00,180.95,169.93,191.41,214.64,184.38,171.11
P50570,DYN2_HUMAN,Dynamin-2 ,Not predicted,0.76,,58.97,55.24,149.95,13.19,2.54,0.009,0.039,82.67,0.00,94.89,0.00,117.28,151.38,171.68,142.99,137.27,146.42
P51665,PSMD7_HUMAN,26S proteasome non-ATPase regulatory subunit 7 ,Not predicted,0.90,,50.00,46.59,124.86,15.37,2.50,0.009,0.039,0.00,94.00,87.44,68.55,0.00,111.31,128.05,117.43,150.15,117.38
Q14318,FKBP8_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP8 ,Not predicted,0.67,,49.24,45.45,122.43,23.16,2.49,0.009,0.039,92.35,0.00,80.09,73.78,0.00,152.47,111.49,141.87,104.25,102.04
O00203,AP3B1_HUMAN,AP-3 complex subunit beta-1 ,Not predicted,0.60,,61.01,56.70,147.85,36.30,2.42,0.028,0.082,0.00,84.43,109.05,0.00,111.59,153.13,136.86,195.11,158.87,95.26
P27144,KAD4_HUMAN,"Adenylate kinase 4, mitochondrial ",Not predicted,0.68,,50.89,48.10,122.40,25.59,2.41,0.028,0.082,0.00,104.74,78.49,0.00,71.24,127.45,122.13,100.64,162.34,99.47
Q08J23,NSUN2_HUMAN,tRNA (cytosine(34)-C(5))-methyltransferase ,Not predicted,0.88,,56.98,53.78,135.33,14.66,2.38,0.009,0.039,0.00,106.35,105.90,72.65,0.00,136.61,131.08,157.61,116.81,134.54
Q13642,FHL1_HUMAN,Four and a half LIM domains protein 1 ,Not predicted,2.01,,244.79,16.60,566.33,102.00,2.31,0.009,0.039,254.62,263.45,232.13,250.54,223.23,741.51,505.30,555.61,544.10,485.12
Q13595,TRA2A_HUMAN,Transformer-2 protein homolog alpha ,Not predicted,1.18,,87.06,81.35,197.20,24.17,2.27,0.016,0.057,119.77,0.00,0.00,146.68,168.83,226.24,161.11,209.29,198.65,190.72
O75475,PSIP1_HUMAN,PC4 and SFRS1-interacting protein ,Not predicted,0.83,,156.86,145.99,355.07,77.14,2.26,0.028,0.082,0.00,286.90,215.04,0.00,282.36,331.68,262.10,318.82,460.12,402.62
P47895,AL1A3_HUMAN,Aldehyde dehydrogenase family 1 member A3 ,Not predicted,2.31,,135.99,31.39,305.90,23.80,2.25,0.009,0.039,161.24,114.09,129.79,100.14,174.71,312.58,268.23,333.13,302.64,312.92
P38606,VATA_HUMAN,V-type proton ATPase catalytic subunit A ,Not predicted,0.83,,93.23,56.03,207.52,27.84,2.23,0.009,0.039,149.27,99.84,118.83,0.00,98.20,190.56,213.75,190.88,253.77,188.62
Q9Y3Z3,SAMH1_HUMAN,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 ,Not predicted,0.70,,280.67,12.55,623.06,51.43,2.22,0.009,0.039,268.37,293.98,288.14,286.68,266.18,672.90,575.92,664.27,561.02,641.17
P28838,AMPL_HUMAN,Cytosol aminopeptidase ,Not predicted,0.74,,198.41,26.92,439.58,52.88,2.22,0.009,0.039,188.08,206.92,158.35,230.24,208.45,486.18,370.98,497.02,408.09,435.66
Q9NTZ6,RBM12_HUMAN,RNA-binding protein 12 ,Not predicted,0.81,,51.73,49.20,114.29,19.85,2.21,0.016,0.057,0.00,78.96,71.36,108.34,0.00,109.88,90.56,114.13,145.67,111.20
Q9Y262,EIF3L_HUMAN,Eukaryotic translation initiation factor 3 subunit L ,Not predicted,0.39,,112.21,71.96,239.40,36.00,2.13,0.009,0.039,192.51,146.44,126.82,0.00,95.29,238.59,209.38,200.77,287.87,260.40
P32004,L1CAM_HUMAN,Neural cell adhesion molecule L1 ,Predicted,1.22,,142.64,29.59,301.67,27.99,2.11,0.009,0.039,138.73,141.92,96.58,161.69,174.28,286.83,320.66,320.38,259.07,321.40
O43681,ASNA_HUMAN,ATPase ASNA1 ,Not predicted,1.12,,92.18,52.71,193.25,24.95,2.10,0.009,0.039,98.87,113.06,119.42,129.53,0.00,184.64,202.26,231.06,183.49,164.81
Q13423,NNTM_HUMAN,"NAD(P) transhydrogenase, mitochondrial ",Not predicted,0.42,,72.83,55.65,152.25,34.66,2.09,0.047,0.118,0.00,108.02,81.32,139.11,35.67,124.70,173.93,106.36,170.11,186.18
Q92973,TNPO1_HUMAN,Transportin-1 ,Not predicted,0.64,,92.14,56.63,190.52,21.27,2.07,0.009,0.039,116.11,138.19,76.75,0.00,129.64,179.20,227.21,183.86,173.58,188.76
Q92597,NDRG1_HUMAN,Protein NDRG1 ,Not predicted,1.36,,75.81,74.33,156.65,30.04,2.07,0.047,0.118,165.68,89.03,124.36,0.00,0.00,183.43,171.75,176.70,138.79,112.56
Q9UQE7,SMC3_HUMAN,Structural maintenance of chromosomes protein 3 ,Not predicted,1.10,,37.60,34.94,76.57,17.50,2.04,0.047,0.118,70.11,65.54,0.00,52.38,0.00,75.69,93.17,81.17,47.43,85.42
